Time,GPS_PosAccuracy
489.3,1.50272727012634
489.4,1.51142859458923
489.5,1.51857137680054
489.6,1.51999998092651
489.7,1.52499997615814
489.8,1.53272724151611
489.9,1.53999996185303
490,1.53999996185303
490.1,1.54727268218994
490.2,1.55499994754791
490.3,1.55999994277954
490.4,1.56142854690552
490.5,1.56857144832611
490.6,1.57000005245209
490.7,1.57500004768372
490.8,1.58000004291534
490.9,1.58142852783203
491,1.58857142925262
491.1,1.5900000333786
491.2,1.59500002861023
491.3,1.60000002384186
491.4,1.60142862796783
491.5,1.60857141017914
491.6,1.61000001430511
491.7,1.61000001430511
491.8,1.61000001430511
491.9,1.61000001430511
492,1.61000001430511
492.1,1.6027272939682
492.2,1.60000002384186
492.3,1.59727275371552
492.4,1.5900000333786
492.5,1.5900000333786
492.6,1.5900000333786
492.7,1.5900000333786
492.8,1.58727276325226
492.9,1.58000004291534
493,1.58000004291534
493.1,1.58000004291534
493.2,1.57500004768372
493.3,1.57000005245209
493.4,1.56857144832611
493.5,1.56142854690552
493.6,1.55999994277954
493.7,1.55499994754791
493.8,1.54999995231628
493.9,1.5485714673996
494,1.541428565979
494.1,1.53999996185303
494.2,1.53999996185303
494.3,1.53727269172668
494.4,1.52999997138977
494.5,1.52999997138977
494.6,1.52272725105286
494.7,1.51999998092651
494.8,1.51999998092651
494.9,1.51857137680054
495,1.51142859458923
495.1,1.50999999046326
495.2,1.50999999046326
495.3,1.50727272033691
495.4,1.5
495.5,1.5
495.6,1.5
495.7,1.5
495.8,1.49727272987366
495.9,1.49000000953674
496,1.49000000953674
496.1,1.49000000953674
496.2,1.49000000953674
496.3,1.49000000953674
496.4,1.49000000953674
496.5,1.49000000953674
496.6,1.49000000953674
496.7,1.49000000953674
496.8,1.49000000953674
496.9,1.49142861366272
497,1.49857139587402
497.1,1.5
497.2,1.5
497.3,1.5
497.4,1.5
497.5,1.5
497.6,1.49272727966309
497.7,1.49000000953674
497.8,1.49279284477234
497.9,1.5
498,1.5
498.1,1.5
498.2,1.5
498.3,1.5027928352356
498.4,1.50999999046326
498.5,1.50999999046326
498.6,1.50999999046326
498.7,1.50999999046326
498.8,1.50999999046326
498.9,1.50999999046326
499,1.50999999046326
499.1,1.50999999046326
499.2,1.50999999046326
499.3,1.50999999046326
499.4,1.50999999046326
499.5,1.50999999046326
499.6,1.50999999046326
499.7,1.50999999046326
499.8,1.51279282569885
499.9,1.51999998092651
500,1.51999998092651
500.1,1.51999998092651
500.2,1.51999998092651
500.3,1.51999998092651
500.4,1.51999998092651
500.5,1.51999998092651
500.6,1.51999998092651
500.7,1.51999998092651
500.8,1.51999998092651
500.9,1.51999998092651
501,1.51999998092651
501.1,1.51999998092651
501.2,1.51999998092651
501.3,1.51999998092651
501.4,1.51999998092651
501.5,1.51999998092651
501.6,1.51999998092651
501.7,1.51999998092651
501.8,1.51999998092651
501.9,1.51999998092651
502,1.51999998092651
502.1,1.51999998092651
502.2,1.51999998092651
502.3,1.51999998092651
502.4,1.51999998092651
502.5,1.51999998092651
502.6,1.51999998092651
502.7,1.51999998092651
502.8,1.51999998092651
502.9,1.51999998092651
503,1.51999998092651
503.1,1.51999998092651
503.2,1.51999998092651
503.3,1.51999998092651
503.4,1.51999998092651
503.5,1.51999998092651
503.6,1.51999998092651
503.7,1.52503597736359
503.8,1.52720725536346
503.9,1.51999998092651
504,1.51999998092651
