Time,GPS_PosAccuracy
0,20
0.1,20
0.2,20
0.3,20
0.4,20
0.5,20
0.6,20
0.7,20
0.8,20
0.9,20
1,20
1.1,20
1.2,20
1.3,20
1.4,20
1.5,20
1.6,20
1.7,20
1.8,20
1.9,20
2,20
2.1,20
2.2,20
2.3,20
2.4,20
2.5,20
2.6,20
2.7,20
2.8,20
2.9,20
3,20
3.1,20
3.2,20
3.3,20
3.4,20
3.5,20
3.6,20
3.7,20
3.8,20
3.9,20
4,20
4.1,20
4.2,20
4.3,20
4.4,20
4.5,20
4.6,20
4.7,20
4.8,20
4.9,20
5,20
5.1,19.0034370422363
5.2,16.6206245422363
5.3,14.6751852035522
5.4,13.3939437866211
5.5,12.2533330917358
5.6,11.3021125793457
5.7,10.6612672805786
5.8,9.99666690826416
5.9,9.47893619537354
6,8.95541286468506
6.1,8.45219898223877
6.2,8.07631206512451
6.3,7.53807353973389
6.4,7.22361707687378
6.5,6.92798185348511
6.6,6.59907817840576
6.7,6.27283668518066
6.8,5.93431186676025
6.9,5.7012767791748
7,5.47743129730225
7.1,5.26695013046265
7.2,5.11092185974121
7.3,4.98095989227295
7.4,4.86384010314941
7.5,4.7487154006958
7.6,4.63865232467651
7.7,4.54645395278931
7.8,4.47304010391235
7.9,4.37928009033203
8,4.27266073226929
8.1,4.1710638999939
8.2,4.08595752716064
8.3,4.0202751159668
8.4,3.96829795837402
8.5,3.90844035148621
8.6,3.84312057495117
8.7,3.79347515106201
8.8,3.73792004585266
8.9,3.69824004173279
9,3.66280007362366
9.1,3.62423992156982
9.2,3.59224009513855
9.3,3.56767988204956
9.4,3.54367995262146
9.5,3.52210998535156
9.6,3.50035452842712
9.7,3.47198581695557
9.8,3.44440364837646
9.9,3.42212772369385
10,3.39816522598267
10.1,3.37517738342285
10.2,3.36099290847778
10.3,3.33768010139465
10.4,3.31911993026733
10.5,3.29027533531189
10.6,3.25517725944519
10.7,3.2409930229187
10.8,3.2325599193573
10.9,3.21368002891541
11,3.19211006164551
11.1,3.17517733573914
11.2,3.16099286079407
11.3,3.15255999565125
11.4,3.15000009536743
11.5,3.14605498313904
11.6,3.13758873939514
11.7,3.13049650192261
11.8,3.12256002426147
11.9,3.11455988883972
12,3.10605502128601
12.1,3.09758853912354
12.2,3.09049654006958
12.3,3.08999991416931
12.4,3.0840425491333
12.5,3.07605504989624
12.6,3.0699999332428
12.7,3.0699999332428
12.8,3.06146788597107
12.9,3.05999994277954
13,3.05605506896973
13.1,3.04999995231628
13.2,3.04999995231628
13.3,3.04999995231628
13.4,3.04404258728027
13.5,3.03999996185303
13.6,3.03999996185303
13.7,3.03999996185303
13.8,3.0314679145813
13.9,3.02999997138977
14,3.02605509757996
14.1,3.01999998092651
14.2,3.01999998092651
14.3,3.01999998092651
14.4,3.01999998092651
14.5,3.02394485473633
14.6,3.02999997138977
14.7,3.02999997138977
14.8,3.0385320186615
14.9,3.03999996185303
15,3.03999996185303
15.1,3.04241132736206
15.2,3.04950356483459
15.3,3.04999995231628
15.4,3.04999995231628
15.5,3.05394506454468
15.6,3.05999994277954
15.7,3.05999994277954
15.8,3.04293584823608
15.9,3.03999996185303
16,3.03999996185303
16.1,3.03999996185303
16.2,3.03999996185303
16.3,3.03999996185303
16.4,3.03404259681702
16.5,3.02999997138977
16.6,3.02757143974304
16.7,3.02042865753174
16.8,3.01145458221436
16.9,2.99799990653992
17,2.9779999256134
17.1,2.95514297485352
17.2,2.94085717201233
17.3,2.91436362266541
17.4,2.90400004386902
17.5,2.89599990844727
17.6,2.88757133483887
17.7,2.88042855262756
17.8,2.87145447731018
17.9,2.86999988555908
18,2.8659999370575
18.1,2.8575713634491
18.2,2.85042858123779
18.3,2.84145450592041
18.4,2.83999991416931
18.5,2.83599996566772
18.6,2.82757139205933
18.7,2.82042860984802
18.8,2.81145453453064
18.9,2.80399990081787
19,2.7960000038147
19.1,2.7875714302063
19.2,2.780428647995
19.3,2.77145457267761
19.4,2.77600002288818
19.5,2.77999997138977
19.6,2.7824285030365
19.7,2.78957152366638
19.8,2.79854536056519
19.9,2.79999995231628
20,2.79999995231628
20.1,2.79999995231628
20.2,2.79999995231628
20.3,2.80854535102844
20.4,2.80999994277954
20.5,2.80999994277954
20.6,2.80999994277954
20.7,2.80999994277954
20.8,2.80999994277954
20.9,2.80999994277954
21,2.80999994277954
21.1,2.80757141113281
21.2,2.80042862892151
21.3,2.79999995231628
21.4,2.79999995231628
21.5,2.7960000038147
21.6,2.78999996185303
21.7,2.78999996185303
21.8,2.78145456314087
21.9,2.7739999294281
22,2.76200008392334
22.1,2.75
22.2,2.75
22.3,2.73290920257568
22.4,2.72399997711182
22.5,2.71600008010864
22.6,2.70757150650024
22.7,2.70042848587036
22.8,2.69145464897156
22.9,2.68400001525879
23,2.6800000667572
23.1,2.67757153511047
23.2,2.67042851448059
23.3,2.67000007629395
23.4,2.67000007629395
23.5,2.67000007629395
23.6,2.66757154464722
23.7,2.66042852401733
23.8,2.65145444869995
23.9,2.65000009536743
24,2.64599990844727
24.1,2.63514280319214
24.2,2.62085723876953
24.3,2.61999988555908
24.4,2.60800004005432
24.5,2.59599995613098
24.6,2.58757138252258
24.7,2.58042860031128
24.8,2.5714545249939
24.9,2.5699999332428
25,2.56200003623962
25.1,2.54757142066956
25.2,2.54042863845825
25.3,2.52290916442871
25.4,2.50799989700317
25.5,2.49200010299683
25.6,2.47514295578003
25.7,2.46085715293884
25.8,2.45145463943481
25.9,2.43199992179871
26,2.41199994087219
26.1,2.3951427936554
26.2,2.38085722923279
26.3,2.35436367988586
26.4,2.33800005912781
26.5,2.31800007820129
26.6,2.29514288902283
26.7,2.28085708618164
26.8,2.27145457267761
26.9,2.25799989700317
27,2.24200010299683
27.1,2.22514295578003
27.2,2.21085715293884
