Time,GPS_SpdAccuracy
539.7,0.26092591881752
539.8,0.270000010728836
539.9,0.270833343267441
540,0.280070424079895
540.1,0.287112683057785
540.2,0.28999999165535
540.3,0.300851076841354
540.4,0.316330283880234
540.5,0.279858142137527
540.6,0.265673756599426
540.7,0.276513755321503
540.8,0.282765954732895
540.9,0.272752285003662
541,0.300567388534546
541.1,0.357304960489273
541.2,0.418532103300095
541.3,0.449999988079071
541.4,0.451834857463837
541.5,0.470283687114716
541.6,0.49865248799324
541.7,0.504495441913605
541.8,0.492765963077545
541.9,0.478165149688721
542,0.459858149290085
542.1,0.445673763751984
542.2,0.43449541926384
542.3,0.42638298869133
542.4,0.421834856271744
542.5,0.439929068088531
542.6,0.432836890220642
542.7,0.452018350362778
542.8,0.469999998807907
542.9,0.468165129423141
543,0.449858158826828
543.1,0.435673773288727
543.2,0.396972477436066
543.3,0.359148949384689
543.4,0.338165134191513
543.5,0.319716304540634
543.6,0.291347503662109
543.7,0.263486236333847
543.8,0.239148929715157
543.9,0.21724770963192
544,0.18985815346241
544.1,0.175673753023148
544.2,0.164495408535004
544.3,0.159999996423721
544.4,0.159999996423721
544.5,0.159999996423721
544.6,0.159999996423721
544.7,0.159999996423721
544.8,0.159999996423721
544.9,0.159999996423721
545,0.1599290817976
545.1,0.152836874127388
545.2,0.150000005960464
545.3,0.150000005960464
545.4,0.150000005960464
545.5,0.150000005960464
545.6,0.150000005960464
545.7,0.155504584312439
545.8,0.159999996423721
545.9,0.159999996423721
546,0.159999996423721
546.1,0.159999996423721
546.2,0.165504589676857
546.3,0.173617020249367
546.4,0.180000007152557
546.5,0.180141851305962
546.6,0.194326236844063
546.7,0.244036704301834
546.8,0.287234038114548
546.9,0.299082577228546
547,0.289858162403107
547.1,0.275673747062683
547.2,0.264495402574539
547.3,0.263617008924484
547.4,0.270000010728836
547.5,0.270141839981079
547.6,0.284326255321503
547.7,0.28999999165535
547.8,0.315319150686264
547.9,0.362752288579941
548,0.389999985694885
548.1,0.389999985694885
548.2,0.428532123565674
548.3,0.452765971422195
548.4,0.435412853956223
548.5,0.389929085969925
548.6,0.382836878299713
548.7,0.374495416879654
548.8,0.373617023229599
548.9,0.377247720956802
549,0.350283682346344
549.1,0.378652483224869
549.2,0.384495407342911
549.3,0.379999995231628
549.4,0.379082560539246
549.5,0.36964538693428
549.6,0.334184408187866
549.7,0.303486227989197
549.8,0.28999999165535
549.9,0.287247717380524
550,0.259999990463257
550.1,0.259999990463257
550.2,0.254495412111282
550.3,0.25
550.4,0.247247710824013
550.5,0.219858154654503
550.6,0.20567375421524
550.7,0.205504581332207
550.8,0.206382974982262
550.9,0.196330279111862
551,0.159999996423721
551.1,0.159999996423721
551.2,0.159999996423721
551.3,0.159999996423721
551.4,0.159999996423721
551.5,0.159999996423721
551.6,0.159999996423721
551.7,0.159999996423721
551.8,0.156357139348984
551.9,0.150999993085861
552,0.160142853856087
552.1,0.174428567290306
552.2,0.185545459389687
552.3,0.193642854690552
552.4,0.202000007033348
552.5,0.219999998807907
552.6,0.219999998807907
552.7,0.219999998807907
552.8,0.227285712957382
552.9,0.238000005483627
553,0.219999998807907
553.1,0.219999998807907
553.2,0.225545451045036
553.3,0.233642861247063
553.4,0.241999998688698
553.5,0.260142862796783
553.6,0.274428576231003
553.7,0.274454534053802
553.8,0.280928581953049
553.9,0.300000011920929
554,0.300214290618896
554.1,0.321642845869064
554.2,0.33554545044899
554.3,0.347285717725754
554.4,0.358999997377396
554.5,0.349857151508331
554.6,0.335571438074112
554.7,0.318909078836441
554.8,0.295428574085236
554.9,0.263999998569489
555,0.209785714745522
555.1,0.188357144594193
555.2,0.180000007152557
555.3,0.180000007152557
555.4,0.18299999833107
555.5,0.209999993443489
555.6,0.209999993443489
555.7,0.209999993443489
555.8,0.206357136368752
555.9,0.200000002980232
556,0.199928566813469
556.1,0.192785710096359
556.2,0.184454545378685
556.3,0.180000007152557
556.4,0.180000007152557
556.5,0.180000007152557
556.6,0.180000007152557
556.7,0.185545459389687
556.8,0.189999997615814
556.9,0.188999995589256
557,0.179928570985794
557.1,0.172785714268684
557.2,0.170000001788139
557.3,0.173642858862877
557.4,0.180000007152557
557.5,0.180071428418159
557.6,0.187214285135269
557.7,0.184454545378685
557.8,0.180000007152557
557.9,0.180999994277954
558,0.189999997615814
558.1,0.189999997615814
558.2,0.184454545378685
558.3,0.19092857837677
558.4,0.212999999523163
558.5,0.239999994635582
558.6,0.239999994635582
558.7,0.245545461773872
558.8,0.253642857074738
558.9,0.263000011444092
559,0.289928585290909
559.1,0.282785713672638
559.2,0.263363629579544
559.3,0.246357142925262
559.4,0.238999992609024
559.5,0.230285719037056
559.6,0.258857131004333
559.7,0.264454543590546
559.8,0.267285704612732
559.9,0.282000005245209
560,0.30007141828537
560.1,0.307214289903641
560.2,0.298909097909927
560.3,0.279071420431137
560.4,0.261000007390976
560.5,0.270000010728836
560.6,0.270000010728836
560.7,0.292181819677353
560.8,0.313642859458923
560.9,0.312999993562698
561,0.249857142567635
561.1,0.235571429133415
561.2,0.224454551935196
561.3,0.21635714173317
561.4,0.209000006318092
561.5,0.199928060173988
561.6,0.192733809351921
561.7,0.195585578680038
561.8,0.20366907119751
561.9,0.209999993443489
562,0.209928050637245
562.1,0.202733814716339
562.2,0.194414407014847
562.3,0.193669065833092
562.4,0.200000002980232
562.5,0.200000002980232
562.6,0.200000002980232
562.7,0.211171165108681
562.8,0.219999998807907
562.9,0.218918919563293
563,0.209999993443489
563.1,0.209999993443489
563.2,0.221171170473099
563.3,0.233669057488441
563.4,0.241081073880196
563.5,0.250143885612488
563.6,0.264532387256622
563.7,0.27558559179306
563.8,0.276330947875977
563.9,0.270000010728836
564,0.269856125116348
564.1,0.255467623472214
564.2,0.255585581064224
564.3,0.259999990463257
564.4,0.264324337244034
564.5,0.300143897533417
564.6,0.314532369375229
564.7,0.314414411783218
564.8,0.302661865949631
564.9,0.28999999165535
565,0.289856106042862
565.1,0.27546763420105
565.2,0.258828818798065
565.3,0.25
565.4,0.25
565.5,0.25
565.6,0.25
565.7,0.244414418935776
565.8,0.236330941319466
565.9,0.227837830781937
566,0.209856107831001
566.1,0.195467621088028
566.2,0.178828835487366
566.3,0.173669070005417
566.4,0.180000007152557
566.5,0.180000007152557
566.6,0.180000007152557
566.7,0.19675675034523
566.8,0.209999993443489
566.9,0.206756755709648
567,0.180000007152557
567.1,0.180000007152557
567.2,0.180000007152557
