Time,GPS_Altitude
389,44.8468704223633
389.1,44.8626747131348
389.2,44.9019470214844
389.3,44.9499320983887
389.4,44.9641418457031
389.5,44.9526863098145
389.6,44.8447074890137
389.7,44.7563705444336
389.8,44.6989707946777
389.9,44.6120147705078
390,44.5818138122559
390.1,44.5503005981445
390.2,44.5312118530273
390.3,44.5421752929688
390.4,44.5800704956055
390.5,44.6291160583496
390.6,44.6399040222168
390.7,44.6326370239258
390.8,44.6034278869629
390.9,44.5568885803223
391,44.6214447021484
391.1,44.6440658569336
391.2,44.6748008728027
391.3,44.7235794067383
391.4,44.7686920166016
391.5,44.8489112854004
391.6,44.9265899658203
391.7,44.8770599365234
391.8,44.7085952758789
391.9,44.5973930358887
392,44.4949645996094
392.1,44.5074996948242
392.2,44.5831565856934
392.3,44.6533317565918
392.4,44.6187553405762
392.5,44.6162071228027
392.6,44.6124534606934
392.7,44.5826759338379
392.8,44.5525779724121
392.9,44.5800743103027
393,44.6806259155273
393.1,44.649112701416
393.2,44.5843963623047
393.3,44.5524253845215
393.4,44.6010437011719
393.5,44.648365020752
393.6,44.6857643127441
393.7,44.7124404907227
393.8,44.7242584228516
393.9,44.7273597717285
394,44.7741622924805
394.1,44.7472038269043
394.2,44.7367668151855
394.3,44.7518005371094
394.4,44.7458267211914
394.5,44.7554092407227
394.6,44.7928161621094
394.7,44.8158111572266
394.8,44.8069000244141
394.9,44.780704498291
395,44.7495536804199
395.1,44.7427101135254
395.2,44.7605323791504
395.3,44.8032417297363
395.4,44.8486938476562
395.5,44.8925437927246
395.6,44.9392051696777
395.7,44.9733467102051
395.8,44.9905548095703
395.9,45.0046920776367
396,45.034049987793
396.1,45.0403633117676
396.2,45.0605201721191
396.3,45.0923767089844
396.4,45.1051139831543
396.5,45.1104850769043
396.6,45.0917053222656
396.7,45.0713272094727
396.8,45.0641746520996
396.9,45.0759925842285
397,45.1150512695312
397.1,45.1571807861328
397.2,45.1896133422852
397.3,45.2087135314941
397.4,45.2248764038086
397.5,45.2050132751465
397.6,45.2072792053223
397.7,45.2060852050781
397.8,45.211612701416
397.9,45.2483215332031
398,45.312328338623
398.1,45.3577079772949
398.2,45.3900299072266
398.3,45.4118156433105
398.4,45.4343376159668
398.5,45.4446792602539
398.6,45.437255859375
398.7,45.437427520752
398.8,45.4491119384766
398.9,45.4583396911621
399,45.5175971984863
399.1,45.5348205566406
399.2,45.5467720031738
399.3,45.5542526245117
399.4,45.5459251403809
399.5,45.5578498840332
399.6,45.555362701416
399.7,45.5214500427246
399.8,45.4694900512695
399.9,45.4474830627441
400,45.4131927490234
400.1,45.3822250366211
400.2,45.3570823669434
400.3,45.3415718078613
400.4,45.3331604003906
400.5,45.3350868225098
400.6,45.3179817199707
400.7,45.2922630310059
400.8,45.257251739502
400.9,45.215389251709
401,45.1901779174805
401.1,45.1703872680664
401.2,45.1625518798828
401.3,45.1668128967285
401.4,45.1693840026855
401.5,45.1755523681641
401.6,45.1696891784668
401.7,45.1712036132812
401.8,45.1836357116699
401.9,45.1960220336914
402,45.1877555847168
402.1,45.1704559326172
402.2,45.1404151916504
402.3,45.1232833862305
402.4,45.155590057373
402.5,45.1357765197754
402.6,45.1046714782715
402.7,45.0496826171875
402.8,44.9862670898438
402.9,44.9547424316406
403,44.793212890625
403.1,44.7104072570801
403.2,44.6075401306152
403.3,44.4903907775879
403.4,44.4239158630371
403.5,44.374927520752
403.6,44.4701538085938
403.7,44.5379104614258
403.8,44.5329780578613
403.9,44.5069923400879
404,44.6115264892578
404.1,44.6682662963867
404.2,44.6680068969727
404.3,44.6500587463379
404.4,44.7009353637695
404.5,44.7185401916504
404.6,44.6931037902832
404.7,44.703483581543
404.8,44.7299537658691
404.9,44.6917304992676
405,44.6320762634277
405.1,44.6644020080566
405.2,44.6988105773926
405.3,44.7044067382812
405.4,44.6881332397461
405.5,44.6687126159668
405.6,44.6784858703613
405.7,44.6874847412109
405.8,44.6888122558594
405.9,44.6891326904297
406,44.7049407958984
406.1,44.7044639587402
406.2,44.7042388916016
406.3,44.6983375549316
406.4,44.6738891601562
406.5,44.6624603271484
406.6,44.6809234619141
406.7,44.6989440917969
406.8,44.7185897827148
406.9,44.7546730041504
407,44.7755432128906
407.1,44.793529510498
407.2,44.8095436096191
407.3,44.8327713012695
407.4,44.8733367919922
407.5,44.8669471740723
407.6,44.9035491943359
407.7,44.9475746154785
407.8,44.9760932922363
407.9,44.9767837524414
408,44.8988647460938
408.1,44.8602027893066
408.2,44.8608589172363
408.3,44.8685569763184
408.4,44.8212509155273
408.5,44.7887153625488
408.6,44.7455368041992
408.7,44.6960792541504
408.8,44.6846199035645
408.9,44.7560424804688
409,44.7635650634766
409.1,44.7740745544434
409.2,44.7851333618164
409.3,44.7807884216309
409.4,44.7474212646484
409.5,44.7115364074707
409.6,44.7296829223633
409.7,44.7342147827148
409.8,44.7271194458008
409.9,44.7498092651367
410,44.8026847839355
410.1,44.826301574707
410.2,44.8498573303223
410.3,44.8583106994629
