Time,GPS_Latitude
439.6,45.0460881456537
439.7,45.0461168037447
439.8,45.0461462226814
439.9,45.0461733683379
440,45.0462043766627
440.1,45.0462317635936
440.2,45.0462606947721
440.3,45.0462902720452
440.4,45.0463167668417
440.5,45.0463472585022
440.6,45.0463741803244
440.7,45.0464024619077
440.8,45.0464312903359
440.9,45.0464572208103
441,45.0464867446729
441.1,45.0465125383173
441.2,45.046538953132
441.3,45.0465650425349
441.4,45.0465879152149
441.5,45.0466134852897
441.6,45.0466353678307
441.7,45.0466577662008
441.8,45.0466796554273
441.9,45.0466981915435
442,45.0467181135405
442.1,45.0467343734713
442.2,45.0467499280922
442.3,45.0467643545418
442.4,45.0467766061015
442.5,45.0467892550458
442.6,45.0467989766846
442.7,45.0468078073077
442.8,45.0468152503214
442.9,45.0468206469939
443,45.0468240320616
443.1,45.0468262481618
443.2,45.0468273438407
443.3,45.0468268405837
443.4,45.0468249762227
443.5,45.0468220779197
443.6,45.0468185320934
443.7,45.0468140459571
443.8,45.0468089514405
443.9,45.0468042618379
444,45.0467977867879
444.1,45.0467920008309
444.2,45.0467856370114
444.3,45.0467788413558
444.4,45.0467725715128
444.5,45.0467650699532
444.6,45.0467582803204
444.7,45.0467510394453
444.8,45.0467433520364
444.9,45.0467358756962
445,45.0467267528336
445.1,45.04671800319
445.2,45.0467084573775
445.3,45.0466982932504
445.4,45.0466885237013
445.5,45.046676512157
445.6,45.046664716829
445.7,45.0466514536025
445.8,45.0466369113089
445.9,45.0466226656461
446,45.0466049558314
446.1,45.0465877938702
446.2,45.0465691400835
446.3,45.0465496262316
446.4,45.0465313934269
446.5,45.0465105499216
446.6,45.0464906742073
446.7,45.0464696686596
446.8,45.0464482034472
446.9,45.0464282681667
447,45.0464054835136
447.1,45.046384834216
447.2,45.0463631861988
447.3,45.0463411868808
447.4,45.0463211031207
447.5,45.0462986680621
447.6,45.0462790254393
447.7,45.0462590985451
447.8,45.0462394597079
447.9,45.0462218935544
448,45.0462034686727
448.1,45.0461882654318
448.2,45.046173137505
448.3,45.0461585642435
448.4,45.0461460664502
448.5,45.0461330486976
448.6,45.0461232158505
448.7,45.0461144748212
448.8,45.0461071523992
448.9,45.0461016927373
449,45.0460976050982
449.1,45.0460966023744
449.2,45.046096921474
449.3,45.0460985033062
